年	号数	掲載順	タイトル	作者	原作者	頁	区分	カラー	備考
2023 	20	9 	帝乃三姉妹は案外、チョロい	ひらかわあや		189	連載		
2023 	20	10 	古見さんは、コミュ症です。	オダトモヒト		207	連載		
2023 	20	11 	ラストカルテ―法獣医学者 当麻健匠の記憶―	浅山わかび		225	連載		
2023 	20	12 	この漫画のヒロインは守崎あまねです。	ねこぐち		243	連載		
2023 	20	13 	あおざくら 防衛大学校物語	二階堂ヒカル		259	連載		
2023 	20	14 	ビグネス参式	勝郎		277	連載	C	
2023 	20	15 	魔王城でおやすみ	熊之股鍵次		297	連載		
2023 	20	16 	白山さんと三田さん	くさかべゆうへい		307	連載		
2023 	20	17 	舞妓さんちのまかないさん	小山愛子		325	連載		
2023 	20	18 	レッドブルー	波切敦		335	連載		
2023 	20	19 	君は008	松江名俊		355	連載		
2023 	20	20 	朱月事変	壱原ちぐさ		381	連載		
2023 	20	21 	第九の波濤	草場道輝		399	連載		
2023 	20	22 	九龍城でもう一度	藤田三司		417	連載		
2023 	20	23 	十勝ひとりぼっち農園	横山裕二		440	連載		
2023 	21	1 	スーパーストリング-異世界見聞録-	Boich	尹仁完	3	連載	C	新連載
